CODE,LABEL,YEAR,SELECTED HEALTH CHARACTERISTICS (MODELLED) - PERSONS 18 YEARS AND OVER LIVING IN PRIVATE DWELLINGS - 2011-12 & 2014-15 Males who are current smokers no.,SELECTED HEALTH CHARACTERISTICS (MODELLED) - PERSONS 18 YEARS AND OVER LIVING IN PRIVATE DWELLINGS - 2011-12 & 2014-15  %,SELECTED HEALTH CHARACTERISTICS (MODELLED) - PERSONS 18 YEARS AND OVER LIVING IN PRIVATE DWELLINGS - 2011-12 & 2014-15 Females who are current smokers no.,SELECTED HEALTH CHARACTERISTICS (MODELLED) - PERSONS 18 YEARS AND OVER LIVING IN PRIVATE DWELLINGS - 2011-12 & 2014-15  %,"SELECTED HEALTH CHARACTERISTICS (MODELLED) - PERSONS 18 YEARS AND OVER LIVING IN PRIVATE DWELLINGS - 2011-12 & 2014-15 Persons with high or very high psychological distress, based on the Kessler 10 (K10) scale no.",SELECTED HEALTH CHARACTERISTICS (MODELLED) - PERSONS 18 YEARS AND OVER LIVING IN PRIVATE DWELLINGS - 2011-12 & 2014-15  %,SELECTED HEALTH CHARACTERISTICS (MODELLED) - PERSONS 18 YEARS AND OVER LIVING IN PRIVATE DWELLINGS - 2011-12 & 2014-15 Persons with fair or poor self-assessed health (15 years and over) no.,SELECTED HEALTH CHARACTERISTICS (MODELLED) - PERSONS 18 YEARS AND OVER LIVING IN PRIVATE DWELLINGS - 2011-12 & 2014-15  %,SELECTED HEALTH CHARACTERISTICS (MODELLED) - PERSONS 18 YEARS AND OVER LIVING IN PRIVATE DWELLINGS - 2011-12 & 2014-15 Persons who had high blood pressure (measured systolic/diastolic blood pressure was equal to or greater than 140/90 mmHg) no.,PRIVATE HEALTH Taxpayers who report having private health insurance  no.,CORE ACTIVITY NEED FOR ASSISTANCE  Persons who have need for assistance with core activities %
0,Australia,2011,-,-,-,-,-,-,-,-,-,"6,363,362",4.6
0,Australia,2012,-,-,-,-,-,-,-,-,-,"6,633,288",-
0,Australia,2013,-,-,-,-,-,-,-,-,-,"7,189,228",-
0,Australia,2014,-,-,-,-,-,-,-,-,-,"7,542,312",-
0,Australia,2015,-,-,-,-,-,-,-,-,-,"7,628,918",-
0,Australia,2016,-,-,-,-,-,-,-,-,-,"7,847,247",5.1
1,New South Wales,2011,-,-,-,-,-,-,-,-,-,"2,043,076",4.9
1,New South Wales,2012,-,-,-,-,-,-,-,-,-,"2,118,088",-
1,New South Wales,2013,-,-,-,-,-,-,-,-,-,"2,158,480",-
1,New South Wales,2014,-,-,-,-,-,-,-,-,-,"2,314,909",-
1,New South Wales,2015,-,-,-,-,-,-,-,-,-,"2,439,350",-
1,New South Wales,2016,-,-,-,-,-,-,-,-,-,"2,526,546",5.4
2,Victoria,2011,-,-,-,-,-,-,-,-,-,"1,482,562",4.8
2,Victoria,2012,-,-,-,-,-,-,-,-,-,"1,543,702",-
2,Victoria,2013,-,-,-,-,-,-,-,-,-,"1,568,281",-
2,Victoria,2014,-,-,-,-,-,-,-,-,-,"1,680,778",-
2,Victoria,2015,-,-,-,-,-,-,-,-,-,"1,765,635",-
2,Victoria,2016,-,-,-,-,-,-,-,-,-,"1,822,628",5.1
3,Queensland,2011,-,-,-,-,-,-,-,-,-,"1,204,156",4.4
3,Queensland,2012,-,-,-,-,-,-,-,-,-,"1,262,532",-
3,Queensland,2013,-,-,-,-,-,-,-,-,-,"1,299,835",-
3,Queensland,2014,-,-,-,-,-,-,-,-,-,"1,373,445",-
3,Queensland,2015,-,-,-,-,-,-,-,-,-,"1,432,012",-
3,Queensland,2016,-,-,-,-,-,-,-,-,-,"1,452,267",5.2
4,South Australia,2011,-,-,-,-,-,-,-,-,-,"479,598",5.5
4,South Australia,2012,-,-,-,-,-,-,-,-,-,"492,449",-
4,South Australia,2013,-,-,-,-,-,-,-,-,-,"506,384",-
4,South Australia,2014,-,-,-,-,-,-,-,-,-,"537,736",-
4,South Australia,2015,-,-,-,-,-,-,-,-,-,"560,984",-
4,South Australia,2016,-,-,-,-,-,-,-,-,-,"572,218",6
5,Western Australia,2011,-,-,-,-,-,-,-,-,-,"800,361",3.5
5,Western Australia,2012,-,-,-,-,-,-,-,-,-,"850,632",-
5,Western Australia,2013,-,-,-,-,-,-,-,-,-,"901,289",-
5,Western Australia,2014,-,-,-,-,-,-,-,-,-,"958,353",-
5,Western Australia,2015,-,-,-,-,-,-,-,-,-,"1,019,800",-
5,Western Australia,2016,-,-,-,-,-,-,-,-,-,"1,041,268",3.9
6,Tasmania,2011,-,-,-,-,-,-,-,-,-,"137,032",5.8
6,Tasmania,2012,-,-,-,-,-,-,-,-,-,"139,967",-
6,Tasmania,2013,-,-,-,-,-,-,-,-,-,"140,578",-
6,Tasmania,2014,-,-,-,-,-,-,-,-,-,"147,305",-
6,Tasmania,2015,-,-,-,-,-,-,-,-,-,"153,364",-
6,Tasmania,2016,-,-,-,-,-,-,-,-,-,"154,395",6.4
7,Northern Territory,2011,-,-,-,-,-,-,-,-,-,"51,382",2.7
7,Northern Territory,2012,-,-,-,-,-,-,-,-,-,"54,274",-
7,Northern Territory,2013,-,-,-,-,-,-,-,-,-,"54,967",-
7,Northern Territory,2014,-,-,-,-,-,-,-,-,-,"58,925",-
7,Northern Territory,2015,-,-,-,-,-,-,-,-,-,"62,046",-
7,Northern Territory,2016,-,-,-,-,-,-,-,-,-,"63,694",3
8,Australian Capital Territory,2011,-,-,-,-,-,-,-,-,-,"138,417",3.3
8,Australian Capital Territory,2012,-,-,-,-,-,-,-,-,-,"144,871",-
8,Australian Capital Territory,2013,-,-,-,-,-,-,-,-,-,"150,983",-
8,Australian Capital Territory,2014,-,-,-,-,-,-,-,-,-,"160,035",-
8,Australian Capital Territory,2015,-,-,-,-,-,-,-,-,-,"168,351",-
8,Australian Capital Territory,2016,-,-,-,-,-,-,-,-,-,"172,539",4.2
1GSYD,Greater Sydney,2011,-,-,-,-,-,-,-,-,-,"1,370,279",4.4
1GSYD,Greater Sydney,2012,-,-,-,-,-,-,-,-,-,"1,419,477",-
1GSYD,Greater Sydney,2013,-,-,-,-,-,-,-,-,-,"1,444,906",-
1GSYD,Greater Sydney,2014,-,-,-,-,-,-,-,-,-,"1,541,706",-
1GSYD,Greater Sydney,2015,-,-,-,-,-,-,-,-,-,"1,623,853",-
1GSYD,Greater Sydney,2016,-,-,-,-,-,-,-,-,-,"1,680,926",4.9
1RNSW,Rest of NSW,2011,-,-,-,-,-,-,-,-,-,"670,864",5.8
1RNSW,Rest of NSW,2012,-,-,-,-,-,-,-,-,-,"696,761",-
1RNSW,Rest of NSW,2013,-,-,-,-,-,-,-,-,-,"711,896",-
1RNSW,Rest of NSW,2014,-,-,-,-,-,-,-,-,-,"771,513",-
1RNSW,Rest of NSW,2015,-,-,-,-,-,-,-,-,-,"814,022",-
1RNSW,Rest of NSW,2016,-,-,-,-,-,-,-,-,-,"836,025",6.3
2GMEL,Greater Melbourne,2011,-,-,-,-,-,-,-,-,-,"1,157,964",4.5
2GMEL,Greater Melbourne,2012,-,-,-,-,-,-,-,-,-,"1,206,721",-
2GMEL,Greater Melbourne,2013,-,-,-,-,-,-,-,-,-,"1,234,444",-
2GMEL,Greater Melbourne,2014,-,-,-,-,-,-,-,-,-,"1,322,689",-
2GMEL,Greater Melbourne,2015,-,-,-,-,-,-,-,-,-,"1,391,206",-
2GMEL,Greater Melbourne,2016,-,-,-,-,-,-,-,-,-,"1,435,418",4.9
2RVIC,Rest of Vic.,2011,-,-,-,-,-,-,-,-,-,"322,185",5.7
2RVIC,Rest of Vic.,2012,-,-,-,-,-,-,-,-,-,"334,742",-
2RVIC,Rest of Vic.,2013,-,-,-,-,-,-,-,-,-,"331,824",-
2RVIC,Rest of Vic.,2014,-,-,-,-,-,-,-,-,-,"355,984",-
2RVIC,Rest of Vic.,2015,-,-,-,-,-,-,-,-,-,"372,556",-
2RVIC,Rest of Vic.,2016,-,-,-,-,-,-,-,-,-,"381,119",6
3GBRI,Greater Brisbane,2011,-,-,-,-,-,-,-,-,-,"598,131",4.2
3GBRI,Greater Brisbane,2012,-,-,-,-,-,-,-,-,-,"626,510",-
3GBRI,Greater Brisbane,2013,-,-,-,-,-,-,-,-,-,"649,653",-
3GBRI,Greater Brisbane,2014,-,-,-,-,-,-,-,-,-,"688,361",-
3GBRI,Greater Brisbane,2015,-,-,-,-,-,-,-,-,-,"721,506",-
3GBRI,Greater Brisbane,2016,-,-,-,-,-,-,-,-,-,"737,544",4.9
3RQLD,Rest of Qld,2011,-,-,-,-,-,-,-,-,-,"605,493",4.7
3RQLD,Rest of Qld,2012,-,-,-,-,-,-,-,-,-,"635,501",-
3RQLD,Rest of Qld,2013,-,-,-,-,-,-,-,-,-,"649,698",-
3RQLD,Rest of Qld,2014,-,-,-,-,-,-,-,-,-,"684,577",-
3RQLD,Rest of Qld,2015,-,-,-,-,-,-,-,-,-,"710,046",-
3RQLD,Rest of Qld,2016,-,-,-,-,-,-,-,-,-,"708,898",5.5
4GADE,Greater Adelaide,2011,-,-,-,-,-,-,-,-,-,"388,327",5.4
4GADE,Greater Adelaide,2012,-,-,-,-,-,-,-,-,-,"398,400",-
4GADE,Greater Adelaide,2013,-,-,-,-,-,-,-,-,-,"411,027",-
4GADE,Greater Adelaide,2014,-,-,-,-,-,-,-,-,-,"435,800",-
4GADE,Greater Adelaide,2015,-,-,-,-,-,-,-,-,-,"455,719",-
4GADE,Greater Adelaide,2016,-,-,-,-,-,-,-,-,-,"466,922",5.9
4RSAU,Rest of SA,2011,-,-,-,-,-,-,-,-,-,"91,203",5.7
4RSAU,Rest of SA,2012,-,-,-,-,-,-,-,-,-,"93,986",-
4RSAU,Rest of SA,2013,-,-,-,-,-,-,-,-,-,"95,302",-
4RSAU,Rest of SA,2014,-,-,-,-,-,-,-,-,-,"101,888",-
4RSAU,Rest of SA,2015,-,-,-,-,-,-,-,-,-,"105,229",-
4RSAU,Rest of SA,2016,-,-,-,-,-,-,-,-,-,"103,896",6.2
5GPER,Greater Perth,2011,-,-,-,-,-,-,-,-,-,"650,442",3.6
5GPER,Greater Perth,2012,-,-,-,-,-,-,-,-,-,"692,772",-
5GPER,Greater Perth,2013,-,-,-,-,-,-,-,-,-,"736,183",-
5GPER,Greater Perth,2014,-,-,-,-,-,-,-,-,-,"784,293",-
5GPER,Greater Perth,2015,-,-,-,-,-,-,-,-,-,"837,064",-
5GPER,Greater Perth,2016,-,-,-,-,-,-,-,-,-,"853,538",3.9
5RWAU,Rest of WA,2011,-,-,-,-,-,-,-,-,-,"149,489",3.4
5RWAU,Rest of WA,2012,-,-,-,-,-,-,-,-,-,"157,496",-
5RWAU,Rest of WA,2013,-,-,-,-,-,-,-,-,-,"164,782",-
5RWAU,Rest of WA,2014,-,-,-,-,-,-,-,-,-,"173,745",-
5RWAU,Rest of WA,2015,-,-,-,-,-,-,-,-,-,"182,470",-
5RWAU,Rest of WA,2016,-,-,-,-,-,-,-,-,-,"186,648",3.8
6GHOB,Greater Hobart,2011,-,-,-,-,-,-,-,-,-,"72,141",5.4
6GHOB,Greater Hobart,2012,-,-,-,-,-,-,-,-,-,"73,844",-
6GHOB,Greater Hobart,2013,-,-,-,-,-,-,-,-,-,"73,844",-
6GHOB,Greater Hobart,2014,-,-,-,-,-,-,-,-,-,"76,366",-
6GHOB,Greater Hobart,2015,-,-,-,-,-,-,-,-,-,"79,161",-
6GHOB,Greater Hobart,2016,-,-,-,-,-,-,-,-,-,"79,769",6
6RTAS,Rest of Tas.,2011,-,-,-,-,-,-,-,-,-,"64,848",6.1
6RTAS,Rest of Tas.,2012,-,-,-,-,-,-,-,-,-,"66,086",-
6RTAS,Rest of Tas.,2013,-,-,-,-,-,-,-,-,-,"66,701",-
6RTAS,Rest of Tas.,2014,-,-,-,-,-,-,-,-,-,"70,906",-
6RTAS,Rest of Tas.,2015,-,-,-,-,-,-,-,-,-,"74,177",-
6RTAS,Rest of Tas.,2016,-,-,-,-,-,-,-,-,-,"74,482",6.7
7GDAR,Greater Darwin,2011,-,-,-,-,-,-,-,-,-,"38,898",2.6
7GDAR,Greater Darwin,2012,-,-,-,-,-,-,-,-,-,"41,319",-
7GDAR,Greater Darwin,2013,-,-,-,-,-,-,-,-,-,"41,899",-
7GDAR,Greater Darwin,2014,-,-,-,-,-,-,-,-,-,"45,457",-
7GDAR,Greater Darwin,2015,-,-,-,-,-,-,-,-,-,"48,433",-
7GDAR,Greater Darwin,2016,-,-,-,-,-,-,-,-,-,"49,506",2.9
7RNTE,Rest of NT,2011,-,-,-,-,-,-,-,-,-,"12,262",2.9
7RNTE,Rest of NT,2012,-,-,-,-,-,-,-,-,-,"12,769",-
7RNTE,Rest of NT,2013,-,-,-,-,-,-,-,-,-,"12,896",-
7RNTE,Rest of NT,2014,-,-,-,-,-,-,-,-,-,"13,341",-
7RNTE,Rest of NT,2015,-,-,-,-,-,-,-,-,-,"13,520",-
7RNTE,Rest of NT,2016,-,-,-,-,-,-,-,-,-,"13,444",3.2
8ACTE,Australian Capital Territory,2011,-,-,-,-,-,-,-,-,-,"138,348",3.3
8ACTE,Australian Capital Territory,2012,-,-,-,-,-,-,-,-,-,"144,812",-
8ACTE,Australian Capital Territory,2013,-,-,-,-,-,-,-,-,-,"150,931",-
8ACTE,Australian Capital Territory,2014,-,-,-,-,-,-,-,-,-,"159,984",-
8ACTE,Australian Capital Territory,2015,-,-,-,-,-,-,-,-,-,"168,311",-
8ACTE,Australian Capital Territory,2016,-,-,-,-,-,-,-,-,-,"172,363",4.2
9OTER,Other Territories,2011,-,-,-,-,-,-,-,-,-,309,-
9OTER,Other Territories,2012,-,-,-,-,-,-,-,-,-,350,-
9OTER,Other Territories,2013,-,-,-,-,-,-,-,-,-,370,-
9OTER,Other Territories,2014,-,-,-,-,-,-,-,-,-,416,-
9OTER,Other Territories,2015,-,-,-,-,-,-,-,-,-,424,-
9OTER,Other Territories,2016,-,-,-,-,-,-,-,-,-,305,-
101,Capital Region,2011,-,-,-,-,-,-,-,-,-,"56,432",5.1
101,Capital Region,2012,-,-,-,-,-,-,-,-,-,"58,693",-
101,Capital Region,2013,-,-,-,-,-,-,-,-,-,"61,031",-
101,Capital Region,2014,-,-,-,-,-,-,-,-,-,"66,953",-
101,Capital Region,2015,-,-,-,-,-,-,-,-,-,"70,917",-
101,Capital Region,2016,-,-,-,-,-,-,-,-,-,"74,016",5.5
102,Central Coast,2011,-,-,-,-,-,-,-,-,-,"81,903",5.7
102,Central Coast,2012,-,-,-,-,-,-,-,-,-,"84,355",-
102,Central Coast,2013,-,-,-,-,-,-,-,-,-,"85,151",-
102,Central Coast,2014,-,-,-,-,-,-,-,-,-,"90,987",-
102,Central Coast,2015,-,-,-,-,-,-,-,-,-,"96,035",-
102,Central Coast,2016,-,-,-,-,-,-,-,-,-,"98,992",6.4
103,Central West,2011,-,-,-,-,-,-,-,-,-,"52,420",5.3
103,Central West,2012,-,-,-,-,-,-,-,-,-,"54,411",-
103,Central West,2013,-,-,-,-,-,-,-,-,-,"55,859",-
103,Central West,2014,-,-,-,-,-,-,-,-,-,"59,608",-
103,Central West,2015,-,-,-,-,-,-,-,-,-,"62,520",-
103,Central West,2016,-,-,-,-,-,-,-,-,-,"63,158",5.6
104,Coffs Harbour - Grafton,2011,-,-,-,-,-,-,-,-,-,"27,909",6.5
104,Coffs Harbour - Grafton,2012,-,-,-,-,-,-,-,-,-,"28,883",-
104,Coffs Harbour - Grafton,2013,-,-,-,-,-,-,-,-,-,"30,386",-
104,Coffs Harbour - Grafton,2014,-,-,-,-,-,-,-,-,-,"34,090",-
104,Coffs Harbour - Grafton,2015,-,-,-,-,-,-,-,-,-,"36,150",-
104,Coffs Harbour - Grafton,2016,-,-,-,-,-,-,-,-,-,"37,573",7
105,Far West and Orana,2011,-,-,-,-,-,-,-,-,-,"26,613",5.6
105,Far West and Orana,2012,-,-,-,-,-,-,-,-,-,"27,507",-
105,Far West and Orana,2013,-,-,-,-,-,-,-,-,-,"27,898",-
105,Far West and Orana,2014,-,-,-,-,-,-,-,-,-,"30,555",-
105,Far West and Orana,2015,-,-,-,-,-,-,-,-,-,"32,352",-
105,Far West and Orana,2016,-,-,-,-,-,-,-,-,-,"32,780",6.1
106,Hunter Valley exc Newcastle,2011,-,-,-,-,-,-,-,-,-,"70,513",5.2
106,Hunter Valley exc Newcastle,2012,-,-,-,-,-,-,-,-,-,"74,454",-
106,Hunter Valley exc Newcastle,2013,-,-,-,-,-,-,-,-,-,"76,491",-
106,Hunter Valley exc Newcastle,2014,-,-,-,-,-,-,-,-,-,"81,121",-
106,Hunter Valley exc Newcastle,2015,-,-,-,-,-,-,-,-,-,"84,881",-
106,Hunter Valley exc Newcastle,2016,-,-,-,-,-,-,-,-,-,"86,892",6
107,Illawarra,2011,-,-,-,-,-,-,-,-,-,"77,235",5.7
107,Illawarra,2012,-,-,-,-,-,-,-,-,-,"79,975",-
107,Illawarra,2013,-,-,-,-,-,-,-,-,-,"79,793",-
107,Illawarra,2014,-,-,-,-,-,-,-,-,-,"86,091",-
107,Illawarra,2015,-,-,-,-,-,-,-,-,-,"91,628",-
107,Illawarra,2016,-,-,-,-,-,-,-,-,-,"94,481",6.4
108,Mid North Coast,2011,-,-,-,-,-,-,-,-,-,"43,325",7.4
108,Mid North Coast,2012,-,-,-,-,-,-,-,-,-,"44,435",-
108,Mid North Coast,2013,-,-,-,-,-,-,-,-,-,"45,143",-
108,Mid North Coast,2014,-,-,-,-,-,-,-,-,-,"49,610",-
