CODE,LABEL,YEAR,LAND AREA  ha,WATER USE ON AUSTRALIAN FARMS Area of agricultural land ha,WATER USE ON AUSTRALIAN FARMS Area irrigated ha,WATER USE ON AUSTRALIAN FARMS Volume of water applied ML,"WATER USE ON AUSTRALIAN FARMS Application rate, area watered and used ML/ha",PROTECTED AREAS  Indigenous Protected Area no.,PROTECTED AREAS National Parks no.,PROTECTED AREAS Nature Reserves no.,PROTECTED AREAS All Other Protected Areas no.,PROTECTED AREAS Total no.,PROTECTED AREAS  Indigenous Protected Area ha,PROTECTED AREAS National Parks ha,PROTECTED AREAS Nature Reserves ha,PROTECTED AREAS All Other Protected Areas ha,PROTECTED AREAS Total ha,PROTECTED AREAS  Indigenous Protected Area %,PROTECTED AREAS National Parks %,PROTECTED AREAS Nature Reserves %,PROTECTED AREAS All Other Protected Areas %,PROTECTED AREAS Total %,SOLAR INSTALLATIONS Small-Scale Solar Panel System Installations no.,SOLAR INSTALLATIONS Increase in installations from previous year %,SOLAR INSTALLATIONS Solar Water Heater Installations no.,SOLAR INSTALLATIONS Increase in SWH installations from previous year %
0,Australia,2011,-,"388,994,482","1,837,538","6,326,065",3.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,Australia,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,366,946",-,"723,088",-
0,Australia,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,508,334",10.3,"771,017",6.6
0,Australia,2016,-,"371,078,257","2,147,915","8,381,399",3.9,74,"1,049","1,754","7,713","10,590","66,786,266","35,894,609","11,254,389","36,983,126","150,918,390",8.7,4.7,1.5,4.8,19.6,"1,640,901",8.8,"816,700",5.9
0,Australia,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,815,621",10.6,"861,791",5.5
0,Australia,2018,"768,812,631.90",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,New South Wales,2011,-,"53,566,048","625,496","2,591,293",4.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,New South Wales,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"293,406",-,"181,517",-
1,New South Wales,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"326,859",11.4,"187,571",3.3
1,New South Wales,2016,-,"53,438,094","668,330","2,610,856",3.9,10,328,426,178,942,"15,952","4,318,246","961,406","2,158,529","7,454,133",-,5.4,1.2,2.7,9.3,"356,351",9,"193,522",3.2
1,New South Wales,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"399,469",12.1,"199,105",2.9
1,New South Wales,2018,"80,081,078.20",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Victoria,2011,-,"11,490,619","454,919","1,067,734",2.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Victoria,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"247,056",-,"179,004",-
2,Victoria,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"278,359",12.7,"200,530",12
2,Victoria,2016,-,"10,676,372","563,168","1,946,125",3.5,5,103,-,"2,919","3,027","3,695","3,068,427",-,"844,670","3,916,792",-,13.5,-,3.7,17.2,"305,026",9.6,"222,283",10.8
2,Victoria,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"336,324",10.3,"245,200",10.3
2,Victoria,2018,"22,749,563.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Queensland,2011,-,"134,215,307","452,618","1,654,592",3.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Queensland,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"426,064",-,"168,775",-
3,Queensland,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"465,576",9.3,"177,206",5
3,Queensland,2016,-,"127,550,908","529,637","2,433,478",4.6,12,315,4,831,"1,162","575,370","9,726,068",995,"4,298,997","14,601,431",0.3,5.6,-,2.5,8.4,"499,978",7.4,"184,374",4
3,Queensland,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"546,411",9.3,"191,458",3.8
3,Queensland,2018,"173,017,208.30",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,South Australia,2011,-,"50,020,160","170,439","591,781",3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,South Australia,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"180,991",-,"39,250",-
4,South Australia,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"193,071",6.7,"41,070",4.6
4,South Australia,2016,-,"47,579,721","190,177","777,769",4.1,10,16,-,"1,962","1,988","6,192,946","1,357,440",-,"22,038,496","29,588,883",6.3,1.4,-,22.4,30.1,"205,680",6.5,"42,585",3.7
4,South Australia,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"221,865",7.9,"43,695",2.6
4,South Australia,2018,"98,427,490.80",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Western Australia,2011,-,"82,785,251","48,987","233,897",4.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Western Australia,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"175,173",-,"126,643",-
5,Western Australia,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"195,943",11.9,"134,998",6.6
5,Western Australia,2016,-,"76,802,353","87,754","287,506",3.3,14,231,"1,208",327,"1,780","33,920,936","12,573,048","10,244,526","2,039,259","58,777,768",13.4,5,4.1,0.8,23.3,"220,121",12.3,"142,761",5.8
