,0
0,NUMBER OF BUSINESSES Number of non-employing businesses no.
1,NUMBER OF BUSINESSES 1-4 employees no.
2,NUMBER OF BUSINESSES 5-19 employees no.
3,NUMBER OF BUSINESSES 20 or more employees no.
4,NUMBER OF BUSINESSES Total number of businesses no.
5,BUSINESS ENTRIES Number of non-employing business entries  no.
6,BUSINESS ENTRIES 1-4 employees no.
7,BUSINESS ENTRIES 5-19 employees no.
8,BUSINESS ENTRIES 20 or more employees no.
9,BUSINESS ENTRIES Total number of business entries no.
10,BUSINESS EXITS Number of non-employing business exits no.
11,BUSINESS EXITS 1-4 employees no.
12,BUSINESS EXITS 5-19 employees no.
13,BUSINESS EXITS 20 or more employees no.
14,BUSINESS EXITS Total number of business exits  no.
15,"NUMBER OF BUSINESSES BY INDUSTRY Agriculture, Forestry and Fishing no."
16,NUMBER OF BUSINESSES BY INDUSTRY Mining no.
17,NUMBER OF BUSINESSES BY INDUSTRY Manufacturing no.
18,"NUMBER OF BUSINESSES BY INDUSTRY Electricity, Gas, Water & Waste Services no."
19,NUMBER OF BUSINESSES BY INDUSTRY Construction no.
20,NUMBER OF BUSINESSES BY INDUSTRY Wholesale trade no.
21,NUMBER OF BUSINESSES BY INDUSTRY Retail trade no.
22,NUMBER OF BUSINESSES BY INDUSTRY Accommodation & Food Services no.
23,"NUMBER OF BUSINESSES BY INDUSTRY Transport, Postal and Warehousing no."
24,NUMBER OF BUSINESSES BY INDUSTRY Information Media & Telecommunications no.
25,NUMBER OF BUSINESSES BY INDUSTRY Financial & Insurance Services no.
26,"NUMBER OF BUSINESSES BY INDUSTRY Rental, Hiring, & Real Estate Services no."
27,NUMBER OF BUSINESSES BY INDUSTRY Professional Scientific & Technical Services no.
28,NUMBER OF BUSINESSES BY INDUSTRY Administrative & Support Services no.
29,NUMBER OF BUSINESSES BY INDUSTRY Public Administration & Safety no.
30,NUMBER OF BUSINESSES BY INDUSTRY Education & Training no.
31,NUMBER OF BUSINESSES BY INDUSTRY Health Care & Social Assistance no.
32,NUMBER OF BUSINESSES BY INDUSTRY Arts & Recreation Services no.
33,NUMBER OF BUSINESSES BY INDUSTRY Other Services no.
34,NUMBER OF BUSINESSES BY INDUSTRY Currently unknown no.
35,NUMBER OF BUSINESSES BY INDUSTRY Total no.
36,BUILDING APPROVALS Private sector houses no.
37,BUILDING APPROVALS Private sector dwellings excluding houses no.
38,BUILDING APPROVALS Total private sector dwelling units no.
39,BUILDING APPROVALS Total dwelling units no.
40,BUILDING APPROVALS Value of private sector houses $m
41,BUILDING APPROVALS Value of private sector dwellings excluding houses $m
42,BUILDING APPROVALS Value of total private sectors dwelling units $m
43,BUILDING APPROVALS Value of total residential building $m
44,BUILDING APPROVALS Value of total non residential building $m
45,BUILDING APPROVALS Value of total building $m
46,RESIDENTIAL PROPERTY PRICES Houses - number of transfers no.
47,RESIDENTIAL PROPERTY PRICES Houses - median sale price $
48,RESIDENTIAL PROPERTY PRICES Attached Dwellings - number of transfers no.
49,RESIDENTIAL PROPERTY PRICES Attached Dwellings - median sale price $
50,REGISTERED MOTOR VEHICLES - NUMBER BY TYPE OF VEHICLE Passenger vehicles no. 
51,REGISTERED MOTOR VEHICLES - NUMBER BY TYPE OF VEHICLE Campervans no. 
52,REGISTERED MOTOR VEHICLES - NUMBER BY TYPE OF VEHICLE Light commercial vehicles no. 
53,REGISTERED MOTOR VEHICLES - NUMBER BY TYPE OF VEHICLE Light rigid trucks no. 
54,REGISTERED MOTOR VEHICLES - NUMBER BY TYPE OF VEHICLE Heavy rigid trucks no. 
55,REGISTERED MOTOR VEHICLES - NUMBER BY TYPE OF VEHICLE Articulated trucks no. 
56,REGISTERED MOTOR VEHICLES - NUMBER BY TYPE OF VEHICLE Non-freight carrying trucks no. 
57,REGISTERED MOTOR VEHICLES - NUMBER BY TYPE OF VEHICLE Buses no. 
58,REGISTERED MOTOR VEHICLES - NUMBER BY TYPE OF VEHICLE Motorcycles no. 
59,REGISTERED MOTOR VEHICLES - NUMBER BY TYPE OF FUEL Petrol no. 
60,REGISTERED MOTOR VEHICLES - NUMBER BY TYPE OF FUEL Diesel no. 
61,REGISTERED MOTOR VEHICLES - NUMBER BY TYPE OF FUEL LPG/Dual/Other no. 
62,REGISTERED MOTOR VEHICLES - NUMBER BY TYPE OF FUEL Electric no. 
63,REGISTERED MOTOR VEHICLES - YEAR OF MANUFACTURE Less than 5 years no. 
64,REGISTERED MOTOR VEHICLES - YEAR OF MANUFACTURE 5 to 10 years no. 
65,REGISTERED MOTOR VEHICLES - YEAR OF MANUFACTURE Over 10 years no. 
66,REGISTERED MOTOR VEHICLES - YEAR OF MANUFACTURE Total Registered Motor Vehicles no. 
67,TOURIST ACCOMMODATION ESTABLISHMENTS Establishments with 15 or more rooms no.
68,"EMPLOYED BY INDUSTRY Agriculture, Forestry and Fishing %"
69,EMPLOYED BY INDUSTRY Mining %
70,EMPLOYED BY INDUSTRY Manufacturing %
71,"EMPLOYED BY INDUSTRY Electricity, Gas, Water & Waste Services %"
72,EMPLOYED BY INDUSTRY Construction %
73,EMPLOYED BY INDUSTRY Wholesale Trade %
74,EMPLOYED BY INDUSTRY Retail Trade %
75,EMPLOYED BY INDUSTRY Accommodation & Food Services %
76,"EMPLOYED BY INDUSTRY Transport, Postal and Warehousing %"
77,EMPLOYED BY INDUSTRY Information Media & Telecommunications %
78,EMPLOYED BY INDUSTRY Financial & Insurance Services %
79,"EMPLOYED BY INDUSTRY Rental, Hiring, & Real Estate Services %"
