LABEL,lat,long
Acacia Gardens,-33.7324595,150.9125321
Adamstown - Kotara,-32.94331125,151.7116262
Albion Park - Macquarie Pass,-34.58236155,150.7759432
Albion Park Rail,-34.5625775,150.7978168
Albury - East,-36.0148062,146.9821715
Albury - North,-36.0148062,146.9821715
Albury - South,-36.0148062,146.9821715
Albury Region,-36.0148062,146.9821715
Anna Bay,-32.7779061,152.0890203
Armidale,-30.41250495,151.9401398
Armidale Region - North,-30.41250495,151.9401398
Armidale Region - South,-30.41250495,151.9401398
Arncliffe - Bardwell Valley,-33.9367831,151.1470408
Ashcroft - Busby - Miller,-33.915,150.9011111
Ashfield,-33.8894781,151.1274125
Asquith - Mount Colah,-33.6826776,151.1159283
Auburn - Central,-33.8500607,151.0317904
Auburn - North,-33.849302,151.0328106
Auburn - South,-34.026398,138.6859174
Austral - Greendale,-41.90952,145.34635
Avalon - Palm Beach,-33.5957478,151.3189623
Avoca Beach - Copacabana,-33.465,151.4344444
Badgerys Creek,-33.9146793,150.7059123
Balgowlah - Clontarf - Seaforth,-33.7944424,151.2608261
Balgownie - Fairy Meadow,-34.395175,150.8964432
Ballina,-28.8634654,153.5619701
Ballina Region,-28.8634654,153.5619701
Balmain,-33.8583992,151.1807353
Bangalow,-28.68054775,153.5207734
Bankstown - North,-33.9171897,151.0335881
Bankstown - South,-33.9171897,151.0335881
Banora Point,-28.2220841,153.5370661
Bargo,-34.293747,150.5817842
Bass Hill - Georges Hall,-38.48267,145.54511
Bateau Bay - Killarney Vale,-33.3816667,151.4844444
Batemans Bay,-35.7072183,150.178289
Batemans Bay - South,-35.7072183,150.178289
Bathurst,-33.4747071,149.6413197
Bathurst - East,-33.4747071,149.6413197
Bathurst Region,-33.4747071,149.6413197
Baulkham Hills (East),-33.7611198,150.9914041
Baulkham Hills (West) - Bella Vista,-33.7416936,150.9547183
Bayview - Elanora Heights,-41.30481,148.27061
Beacon Hill - Narraweena,-33.7450531,151.2645261
Bega - Tathra,-36.7284498,149.9850271
Bega-Eden Hinterland,-36.6780983,149.8408283
Bellingen,-30.37399135,152.71921
Belmont - Bennetts Green,-31.9545783,115.9426289
Belmont South - Blacksmiths,-33.0733333,151.6566667
Belmore - Belfield,-33.9100096,151.0853236
Berala,-33.8753943,151.0343253
Beresfield - Hexham,-32.8007131,151.6576605
Berkeley - Lake Heights - Cringila,-34.4774294,150.8448548
Berowra - Brooklyn - Cowan,-33.6003975,151.1696594
Berry - Kangaroo Valley,-34.7753238,150.697722
Bexley,-33.9523543,151.1181427
Bidwill - Hebersham - Emerton,-33.7319476,150.823408
Bilpin - Colo - St Albans,-33.496492,150.5288182
Blackheath - Megalong Valley,-33.6757083,150.2683104
Blacktown (East) - Kings Park,-33.7433333,150.9086111
Blacktown (North) - Marayong,-33.7491667,150.8919444
Blacktown (South),-33.7401885,150.8648355
Blacktown (West),-33.7401885,150.8648355
Blaxland - Warrimoo - Lapstone,-33.7460755,150.6092697
Blayney,-33.61663685,149.1640565
Blue Haven - San Remo,-33.2108061,151.5041066
Blue Mountains - North,-33.63511425,150.4375037
Bolton Point - Teralba,-33.0025,151.615
Bombala,-36.9113175,149.2389375
Bondi - Tamarama - Bronte,-33.8930556,151.2633333
Bondi Beach - North Bondi,-33.8923133,151.2753137
Bondi Junction - Waverly,-33.8930034,151.2501228
Bonnells Bay - Silverwater,-33.1078506,151.5291695
Bonnyrigg Heights - Bonnyrigg,-33.8912101,150.8695795
Bossley Park - Abbotsbury,-33.8622222,150.8844444
Botany,-33.947829,151.1990644
Bourke - Brewarrina,-29.9653374,146.8647497
Bowral,-34.4816626,150.4177868
Box Head - MacMasters Beach,-33.5355173,151.3455457
Bradbury - Wedderburn,-34.0816667,150.8177778
Braidwood,-35.4444499,149.7996751
